ENTREZID	SYMBOL	length	sample1	sample2	sample3
1	A1BG	9268	21	30	22
100	ADA	2829	172	150	305
1000	CDH2	6397	21	47	20
10000	AKT3	19617	34	69	33
100008587	RNA5-8SN5	1224	78	100	74
100008589	RNA28SN5	593	701	1215	960
100009676	ZBTB11-AS1	2743	17	9	21
10001	MED6	8436	577	76	714
10002	NR2E3	3528	3	20	4
10003	NAALAD2	11560	8	16	8
100034743	PDZK1P1	3943	3	19	5
100037417	DDTL	3090	43	14	70
10004	NAALADL1	12322	18	21	42
100048912	CDKN2B-AS1	6706	10	35	8
100049716	LOC100049716	5131	10	22	20
10005	ACOT8	9318	114	40	149
10006	ABI1	8476	751	392	1130
10007	GNPDA1	9174	940	43	898
10009	ZBTB33	7557	467	78	496
100093630	SNHG8	1821	265	116	265
100093698	GS1-600G8.3	2249	1	13	2
1001	CDH3	8298	68	5	62
10010	TANK	10829	1056	287	1321
100101267	POM121C	11720	523	117	513
100101467	ZSCAN30	20495	98	65	172
10011	SRA1	5764	471	67	754
100113407	TMEM170B	8362	79	29	80
100124538	SNORA70C	135	0	7	0
100126793	GHRLOS	3795	4	0	7
100127889	NA	2613	4	3	3
100127950	HECW1-IT1	1839	4	0	4
100127967	KRT73-AS1	4870	4	1	1
100128054	PLCE1-AS1	4384	0	8	2
100128081	JAZF1-AS1	4758	8	24	6
100128191	TMPO-AS1	4095	34	3	58
100128252	ZNF667-AS1	5391	12	7	7
100128317	LOC100128317	8191	1	14	0
100128327	TRAPPC3L	3348	4	27	3
100128338	FAM83H-AS1	6458	6	10	9
100128398	LOC100128398	12965	7	9	2
100128420	LINC00892	2612	259	75	754
100128505	ASTN2-AS1	1756	9	20	4
100128554	LINC02347	3894	2	19	3
100128560	MYHAS	4606	2	5	7
100128569	C19orf71	674	1	2	6
100128590	SLC8A1-AS1	13143	36	45	17
100128682	LINC01531	5921	5	17	3
100128714	LINC02346	1967	4	3	4
100128731	OST4	1440	671	354	903
100128782	LINC00476	7060	22	49	38
100128788	SRRM2-AS1	7356	8	2	10
100128811	GPR158-AS1	2433	4	2	2
100128822	LINC01003	1764	22	20	15
100128881	VPS9D1-AS1	2684	46	0	39
100128890	FAM66B	6693	3	16	9
100128993	LOC100128993	1589	8	2	6
100129060	SEMA3F-AS1	3320	6	12	13
100129075	KTN1-AS1	5245	22	22	14
100129195	ZSCAN16-AS1	3699	21	19	29
100129196	MATN1-AS1	6645	9	11	12
100129203	LOC100129203	5575	2	22	8
100129213	SLC39A12-AS1	2874	3	4	5
100129250	SMIM27	2905	40	41	28
100129345	LINC02291	2817	6	4	4
100129361	SMIM10L1	9796	144	99	184
100129387	GABPB1-AS1	1076	37	13	71
100129405	MSTO2P	3164	22	9	33
100129480	MKRN2OS	1846	1	17	3
100129550	LINC02035	5476	9	25	5
100129583	FAM47E	10961	13	5	2
100129597	LINC00462	962	1	4	6
100129603	LOC100129603	2489	2	1	3
100129716	ARRDC3-AS1	3633	6	6	7
100129726	LINC01126	1646	1	6	2
100129792	CCDC152	4192	79	37	78
100129842	ZNF737	4310	47	116	79
100129858	SCOC-AS1	2763	7	13	14
100129917	LOC100129917	2077	20	29	31
100129940	LOC100129940	6357	11	94	16
100129969	FAM205C	2254	6	10	6
100129973	CERNA1	2880	6	10	11
10013	HDAC6	5677	251	100	418
100130093	NA	2613	0	2	3
100130231	LINC00861	6417	44	496	94
100130298	LOC100130298	859	2	3	3
100130311	C17orf107	4474	2	0	3
100130418	CECR7	5533	10	3	1
100130476	LOC100130476	4400	28	95	103
100130557	NFYC-AS1	1687	6	4	16
100130581	LINC00910	5690	3	1	4
100130691	LOC100130691	14072	18	33	19
100130733	LRRC70	5491	4	15	2
100130742	LRRC69	3942	8	22	16
100130771	EFCAB10	4320	8	5	6
100130855	USP3-AS1	6827	7	7	24
100130872	LOC100130872	3910	13	18	11
100130890	TSTD3	962	10	6	32
100130894	VAC14-AS1	6703	8	10	9
100130950	LOC100130950	2532	4	7	0
100130992	LOC100130992	3281	4	13	11
100131017	ZNF316	6350	155	118	193
100131047	LOC100131047	905	5	10	2
100131067	CKMT2-AS1	7411	32	17	26
100131089	SRP14-AS1	3577	20	39	44
100131096	TNRC6C-AS1	3192	2	74	10
100131117	ZBTB20-AS1	3155	8	19	6
100131176	WDR86-AS1	2015	0	56	0
100131187	TSTD1	2931	123	201	215
100131193	CCDC183-AS1	2386	15	1	5
100131208	SNAP25-AS1	7104	15	32	15
100131211	NEMP2	6529	171	66	160
100131234	MIR181A1HG	4180	8	14	18
100131434	LINC00893	8716	8	8	4
100131564	CCDC18-AS1	9539	73	134	138
100131691	MZF1-AS1	3451	12	4	20
100131733	USP30-AS1	656	28	13	23
100131755	ARMCX4	16407	19	42	23
100131801	PET100	2025	141	76	205
100131814	LINC00271	4819	9	17	14
100131827	ZNF717	7630	52	127	62
100131998	RRN3P3	1120	52	19	62
100132057	LOC100132057	4188	15	26	17
100132078	LOC100132078	2587	3	23	6
